legacy_state,legacy_url,full_url,template,controller,auth_scope,module_file,modern_route,modern_component,status,notes
Root.WithOrg.Client.Projects.Create,/Create,/:organizationName/Projects/Create,app/project/create/create-edit.html,projectCreateController,unspecified,src/webapp/src/client/app/project/project.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/project/project.module.js:36
Root.WithOrg.Client.Projects.Edit,/Edit/:id,/:organizationName/Projects/Edit/:id,app/project/create/create-edit.html,projectCreateController,unspecified,src/webapp/src/client/app/project/project.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/project/project.module.js:42
Root.WithOrg.Client.Projects.List,/List,/:organizationName/Projects/List,app/project/list/list.html,projectListController,unspecified,src/webapp/src/client/app/project/project.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/project/project.module.js:21
Root.WithOrg.Client.Projects.ProjectContent,/Details/:id,/:organizationName/Projects/Details/:id,app/project/content/content.html,projectContentController,unspecified,src/webapp/src/client/app/project/project.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/project/project.module.js:27
Root.WithOrg.Client.ServiceRequests,/ServiceRequests,/:organizationName/ServiceRequests,,,unspecified,src/webapp/src/client/app/service-request/service-request.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/service-request/service-request.module.js:22
Root.WithOrg.Client.ServiceRequests.List,/List?Id,/:organizationName/ServiceRequests/List?Id,app/service-request/service-request-main.html,ServiceRequestController,unspecified,src/webapp/src/client/app/service-request/service-request.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/service-request/service-request.module.js:30
Root.WithOrg.Client.Settings,/Settings,/:organizationName/Settings,app/settings/settings.html,settingsController,unspecified,src/webapp/src/client/app/settings/settings.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/settings/settings.module.js:17
Root.WithOrg.Client.Settings.General,/General,/:organizationName/Settings/General,app/settings/general/general.html,settingsGeneralController,unspecified,src/webapp/src/client/app/settings/settings.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/settings/settings.module.js:24
Root.WithOrg.Client.Settings.Notifications,/Notifications,/:organizationName/Settings/Notifications,app/settings/notifications/notifications.html,settingsNotificationsController,unspecified,src/webapp/src/client/app/settings/settings.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/settings/settings.module.js:30
Root.WithOrg.Client.Settings.Providers,/Providers,/:organizationName/Settings/Providers,app/settings/providers/providers.html,settingsProvidersController,unspecified,src/webapp/src/client/app/settings/settings.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/settings/settings.module.js:36
Root.WithOrg.Client.SubmitTicket,/SubmitTicket,/:organizationName/SubmitTicket,app/support/submit-ticket/submit-ticket.html,supportController,unspecified,src/webapp/src/client/app/support/support.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/support/support.module.js:13
Root.WithOrg.Client.Vacations,/Vacation,/:organizationName/Vacation,,,unspecified,src/webapp/src/client/app/vacations/vacations.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/vacations/vacations.module.js:24
Root.WithOrg.Client.Vacations.List,/List,/:organizationName/Vacation/List,app/vacations/vacations-list.html,vacationsController,unspecified,src/webapp/src/client/app/vacations/vacations.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/vacations/vacations.module.js:29
Root.WithOrg.Client.Wall,/Wall,/:organizationName/Wall,app/wall/wall.html,wallController,unspecified,src/webapp/src/client/app/wall/wall.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/wall/wall.module.js:16
Root.WithOrg.Client.Wall.All,/All,/:organizationName/Wall/All,app/wall/item/feed/feed.html,,unspecified,src/webapp/src/client/app/wall/wall.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/wall/wall.module.js:44
Root.WithOrg.Client.Wall.Create,/Create,/:organizationName/Wall/Create,app/wall/discover-walls/create-edit/create-edit.html,discoverWallsCreateController,unspecified,src/webapp/src/client/app/wall/wall.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/wall/wall.module.js:54
Root.WithOrg.Client.Wall.Edit,/Edit/:id,/:organizationName/Wall/Edit/:id,app/wall/discover-walls/create-edit/create-edit.html,discoverWallsCreateController,unspecified,src/webapp/src/client/app/wall/wall.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/wall/wall.module.js:60
Root.WithOrg.Client.Wall.Item,,/:organizationName/Wall,app/wall/item/item.html,wallItemController,unspecified,src/webapp/src/client/app/wall/wall.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/wall/wall.module.js:24
Root.WithOrg.Client.Wall.Item.Feed,/Feed?wall/?search/?post,/:organizationName/Wall/Feed?wall/?search/?post,app/wall/item/feed/feed.html,wallFeedController,unspecified,src/webapp/src/client/app/wall/wall.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/wall/wall.module.js:31
